#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:77 type:b dur:2 cpbdur:2 q:28.33 aq:22.27 tex:7687 mv:4849 misc:2496 imb:205 pmb:572 smb:2823 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:28.06 aq:20.91 tex:54817 mv:12149 misc:3082 imb:1062 pmb:994 smb:1544 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:28.17 aq:21.94 tex:13924 mv:7220 misc:3056 imb:260 pmb:927 smb:2413 d:s ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:28.22 aq:21.74 tex:1192 mv:864 misc:1640 imb:9 pmb:303 smb:3288 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:28.12 aq:21.85 tex:7438 mv:4021 misc:2389 imb:156 pmb:549 smb:2895 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:27.87 aq:21.31 tex:49638 mv:11970 misc:3080 imb:1021 pmb:967 smb:1612 d:s ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:27.97 aq:20.98 tex:24613 mv:9115 misc:3008 imb:304 pmb:1163 smb:2133 d:s ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:28.01 aq:22.11 tex:2359 mv:1413 misc:1940 imb:26 pmb:440 smb:3134 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:27.92 aq:22.13 tex:10161 mv:5767 misc:2560 imb:221 pmb:679 smb:2700 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:27.65 aq:21.64 tex:51843 mv:12292 misc:2993 imb:1070 pmb:1028 smb:1502 d:s ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:27.76 aq:21.46 tex:35818 mv:12099 misc:2923 imb:410 pmb:1394 smb:1796 d:s ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:27.81 aq:22.18 tex:12142 mv:6676 misc:2470 imb:262 pmb:719 smb:2619 d:s ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:27.71 aq:21.53 tex:2139 mv:1732 misc:2257 imb:18 pmb:624 smb:2958 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:27.43 aq:22.17 tex:51850 mv:13568 misc:2742 imb:1200 pmb:957 smb:1443 d:s ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:27.54 aq:21.88 tex:25240 mv:11538 misc:2942 imb:431 pmb:1281 smb:1888 d:s ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:27.60 aq:21.96 tex:15619 mv:7610 misc:2363 imb:314 pmb:753 smb:2533 d:s ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:27.48 aq:21.53 tex:4726 mv:2674 misc:2496 imb:50 pmb:742 smb:2808 d:- ref:0 ;
in:95 out:94 type:P dur:2 cpbdur:2 q:27.45 aq:22.68 tex:33955 mv:11042 misc:2739 imb:1092 pmb:710 smb:1798 d:s ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:27.44 aq:22.25 tex:19090 mv:8886 misc:2568 imb:393 pmb:884 smb:2323 d:s ref:0 ;
in:96 out:96 type:I dur:2 cpbdur:2 q:25.28 aq:20.01 tex:588564 mv:123203 misc:257 imb:3600 pmb:0 smb:0 d:s ref:;
in:100 out:97 type:P dur:2 cpbdur:2 q:29.05 aq:23.47 tex:129272 mv:25625 misc:1215 imb:748 pmb:2652 smb:200 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:29.05 aq:24.82 tex:24976 mv:16518 misc:3114 imb:221 pmb:1575 smb:1804 d:t ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:29.05 aq:26.86 tex:4500 mv:6886 misc:2902 imb:36 pmb:935 smb:2629 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:29.05 aq:25.71 tex:12495 mv:9089 misc:2848 imb:183 pmb:975 smb:2442 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:29.08 aq:23.43 tex:157032 mv:26535 misc:857 imb:796 pmb:2707 smb:97 d:s ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:29.06 aq:25.16 tex:27030 mv:16016 misc:3330 imb:230 pmb:1619 smb:1751 d:t ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:29.05 aq:25.18 tex:12109 mv:9345 misc:2842 imb:170 pmb:1006 smb:2424 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:29.07 aq:25.35 tex:3725 mv:4639 misc:2700 imb:17 pmb:775 smb:2808 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:30.24 aq:24.35 tex:114052 mv:24452 misc:1280 imb:641 pmb:2744 smb:215 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:29.66 aq:25.62 tex:16918 mv:12937 misc:3313 imb:179 pmb:1377 smb:2044 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:29.37 aq:26.00 tex:9882 mv:7298 misc:2676 imb:108 pmb:867 smb:2625 d:s ref:0 ;
